SCATS_ID,Station_Name
3508,BLACKSHAWS/CHAMBERS
3905,BLACKSHAWS/GRIEVE
3499,BLACKSHAWS/MILLS/KYLE
3991,BLAIR NR KIEWA
3990,BLAIR NR KING WILLIAM
3092,BLUFF BETWEEN BALCOMBE AND KARRAKATTA
3106,BLUFF NR ABBOTT
3100,BLUFF NR APEX
3103,BLUFF NR ARKARINGA
3636,BLUFF NR HOLLOWAY
3101,BLUFF/HIGHETT
3099,BLUFF/LUDSTONE STREET
3779,BLYTH NR EDMENDS  (FIRE STATION)
3766,BOARDWALK/MAIN
3765,BOARDWALK/MURNONG
5214,BOARDWALK/TOM ROBERTS
4795,BOLDREWOOD NR GENOA
1167,BOLTON ST NR WITHERS ST
985,BONEO NR CAIN
988,BONEO/BUNNINGS ACCESS
554,BONEO/MCCOMBE
2569,BOORAN NR MARARA
2755,BOORAN NR MIRIAM
4082,BOORAN/NEERIM
1144,BORONIA NR AMESBURY & ROXBURGH
370,BORONIA NR DINSDALE
366,BORONIA NR LUSK
372,BORONIA NR ROSE
373,BORONIA NR TORMORE
388,BORONIA/CFA FIRE STATION
1104,BORONIA/EASTLINK
1104,BORONIA/EASTLINK
375,BORONIA/ERICA
376,BORONIA/FLORISTON/HASTINGS
371,BORONIA/SCORESBY
369,BORONIA/STUD
367,BORONIA/WANTIRNA
4638,BOUNDARY NR LOWER DANDENONG
2652,BOUNDARY RD / EAST OF MT DERRIMUT RD
3993,BOUNDARY/CUMBERLAND
2689,BOUNDARY/FAIRBAIRN/LITTLE BOUNDARY
3715,BOUNDARY/GOVERNOR  (ROUNDABOUT)
5280,BOUNDARY/HUME
5290,BOUNDARY/LOT E ACCESS
4490,BOUNDARY/MACAULAY
4647,BOUNDARY/MALCOLM/WHITE
3203,BOUNDARY/OLD DANDENONG
2176,BOUNDARY/PASCOE/WEST
2647,BOUNDARY/PLUMMER/INDUSTRIAL DR
4111,BOUNDARY/SUSSEX
5263,BOUNDARY/WILLIAM ANGLISS DR/MARWEN DR
4598,BOURKE NR HARDWARE
1319,BOURKE STREET NR SPRING STREET
1318,BOURKE STREET NR SPRING STREET
2951,BOURKE/AURORA
4636,BOURKE/CLAYTON/OSBORNE
4594,BOURKE/EXHIBITION
4398,BOUVERIE/QUEENSBERRY
672,BRADY NR SHALIMAR
6620,BRANDY CREEK RD (VICTORIA ST)/ALBERT RD
6620,BRANDY CREEK RD (VICTORIA ST)/ALBERT RD
6619,BRANDY CREEK(VICTORIA ST)NR SMITH
4442,BRAY NR GREY
5229,BREAKWATER/TUCKER/CURRIER
809,BRICE NR GEORGE & BATHURST
810,BRICE NR STATION
4802,BRIDGE NR RICHMOND TOWN HALL
6021,BRIDGE NR SALISBURY             BENALLA
3868,BRIDGE NR VERITY
4806,BRIDGE NR YARRA BOULEVARD
4805,BRIDGE/BURNLEY
4801,BRIDGE/CHURCH
4803,BRIDGE/COPPIN
4800,BRIDGE/LENNOX
4877,BRIDGE/LIGHT RAIL XING
990,BRIDGE/SILVER
2295,BRIDPORT NR MONTAGUE
4875,BRIDPORT/LIGHT RAIL XING
2171,BROADMEADOWS DEV/NTH CIRCULAR
3999,BROADMEADOWS/SHARPS/BARRIE
3216,BROADWAY NR MARCHANT
6100,BROADWAY NR O'DWYER
1231,BROADWAY NTH OF GLENHUNTLY RD
5046,Bromfield St Nr Gelibrand Street
5112,BROUGHAM / GHERINGHAP
5070,BROUGHAM/MOORABOOL
5049,BROUGHAM/YARRA
4219,BRUNSWICK NR CHURCH
3793,BRUNSWICK NR EWING
4221,BRUNSWICK NR HANOVER
4217,BRUNSWICK NR LEICESTER
4220,BRUNSWICK NR PALMER
3114,BRUNSWICK NR RATHDOWNE
3109,BRUNSWICK NR WATSON
3110,BRUNSWICK/FLEMING
4216,BRUNSWICK/GERTRUDE
3118,BRUNSWICK/GIBSON
3111,BRUNSWICK/GRANTHAM
3451,BRUNSWICK/JOHNSTON
3113,BRUNSWICK/LYGON
3115,BRUNSWICK/NICHOLSON/HOLDEN
3791,BRUNSWICK/STRANGER
3834,BUCKLEY (STH) NR LESLIE
4239,BUCKLEY NR ARRAN
3044,BUCKLEY NR BATMAN
4242,BUCKLEY NR CUTHBERT
4197,BUCKLEY NR McCRACKEN
2780,BUCKLEY NR PHW
4196,BUCKLEY/COOPER/FAWKNER
3047,BUCKLEY/DICKSON
2719,BUCKLEY/HOFFMANS
4233,BUCKLEY/NICHOLSON
4235,BUCKLEY/VICTORIA
4198,BUCKLEY/WAVERLEY/LINCOLN
4198,BUCKLEY/WAVERLEY/LINCOLN
3521,BULLA NR CARNARVON
3516,BULLA ROAD NR HOLYROOD
1214,BULLA/SOMERTON(GREEN ST)
1007,BULLA/TULLAMARINE FWY EB ON/OFF RAMP
1012,BULLA/WOODLAND
4054,BULLEEN NR HILLVIEW
4055,BULLEEN NR LEONIS
1151,BURGUNDY NR CAPE
3071,BURGUNDY/CAPE
3070,BURGUNDY/HAWDON
3090,BURGUNDY/MOUNT
3072,BURGUNDY/ROSANNA/LWR H'BERG
3317,BURGUNDY/STUDLEY/STRADBROKE
3846,BURKE NR BEAVER
4039,BURKE NR BURKE AVE (RIVERSDALE)
4041,BURKE NR CAMPBELL
4431,BURKE NR CARROLL
3821,BURKE NR COOKSON
3826,BURKE NR GORDON
3884,BURKE NR KARDELLA
4031,BURKE NR KEW HIGH SCHOOL
2034,BURKE NR PINE
3845,BURKE NR RANFURLIE
4037,BURKE NR TORRINGTON
4033,BURKE NR TREGARRON
1257,BURKE RD NTH BTW KEAM AND MACKENNEL
4035,BURKE/BARKERS/MONT ALBERT
4032,BURKE/BELMORE/HARP
1031,BURKE/BURWOOD
4040,BURKE/CAMBERWELL/RIVERSDALE
3120,BURKE/CANTERBURY
4369,BURKE/CARROLL/WILLS
6614,BURKE/COLEMAN
4034,BURKE/COTHAM/WHITEHORSE
4030,BURKE/DONCASTER/KILBY/HIGH
4038,BURKE/HAROLD/PROSPECT HILL
4307,BURKE/MCARTHUR
3977,BURKE/MONT ALBERT
2826,BURKE/OLD BURKE/BOULEVARD
4042,BURKE/PLEASANT/SEYMOUR
4043,BURKE/TOORAK
4368,BURKE/WATTLETREE
4346,BURKE/WAVERLEY
4153,BURNLEY NR BOYD
3863,BURNLEY NR KENT
4150,BURNLEY/BARKLY
3656,BURNLEY/HIGHETT
3657,BURNLEY/MURPHY
3878,BURNLEY/NORTHERN ACCESS RD
167,BURWOOD HWY NR BENWERRIN
579,BURWOOD HWY NR CROW
578,BURWOOD HWY NR HIGHVIEW
825,BURWOOD HWY NR KELVIN
100,BURWOOD HWY NR LIVINGSTONE
2002,BURWOOD HWY NR MILLICENT
2020,BURWOOD HWY NR MILPERA
2003,BURWOOD HWY NR PLC
2003,BURWOOD HWY NR PLC
103,BURWOOD HWY NR REYNOLDS
163,BURWOOD HWY NR SEVEN OAKS
2007,BURWOOD HWY NR STARLING
2007,BURWOOD HWY NR STARLING
181,BURWOOD HWY NR WILLOW
162,BURWOOD HWY/BLACKBURN
179,BURWOOD HWY/BRENOCK PARK/SELMAN
2018,BURWOOD HWY/BUNNINGS
182,BURWOOD HWY/DAWSON
2005,BURWOOD HWY/DEAKIN UNIVERSITY
