Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
876,STATION STREET / BAYSWATER STATION,FLASH PX,Melway,64 F04,,,,
996,STUD PK SHOP CENTRE CAR PARK NR BUS STOP,FLASH PX,Melway,081J01,,,,
997,STUD PK SHOPPING CENTRE NR  MCDONALDS,FLASH PX,Melway,081J01,,,,
561,STUD(SERVICE) NR COLEMAN,FLASH PX,Melway,063K09,,,,
4110,SUSSEX NR KENT,FLASH PX,Melway,1.7E+08,,,,
3853,TALBOT NR GLENFERRIE,FLASH PX,Melway,059D03,,,,
3773,THE LAKES NR THE PROMENADE,FLASH PX,Melway,183A08,,,,
3856,TOORONGA NR MILTON,FLASH PX,Melway,059F06,,,,
6501,TUAGGRA NR ALMA,FLASH PX,VicRoads,5.58E+09,,,,
478,VIRGINIA NR STEPHENSONS,FLASH PX,Melway,070E02,,,,
3712,WARREN NR BROWNFIELD,FLASH PX,Melway,087G09,,,,
4139,WATERFIELD NR BELL,FLASH PX,Melway,017H12,,,,
5314,WEBB NR VALLEY FAIR,FLASH PX,Melway,110D06,,,,
518,WEBB ST NR REBOUND CT,FLASH PX,Melway,110D06,,,,
5047,WESTERN BEACH RD NR GINN STREET,FLASH PX,Melway,452A01,,,,
2696,WESTMORELAND BTW BALLARAT & PHOENIX,FLASH PX,Melway,026J10,,,,
1153,WHEELER NR WILSON,FLASH PX,Unknown,Unknown,,,,
3972,WHITEMAN NR QUEENSBRIDGE,FLASH PX,Melway,2FC09,,,,
588,WICKLOW NR TOORAK,FLASH PX,Melway,050J03,,,,
6286,WILLIAMSON NR LYTTLETON,FLASH PX,VicRoads,283L14,,,,
6277,WILLIAMSON NR PALL MALL,FLASH PX,VicRoads,283L14,,,,
3752,WILLIAMSTOWN NR INGLES,FLASH PX,Melway,2J-F01,,,,
3007,WILLSMERE NR EARL,FLASH PX,Melway,045D03,,,,
6637,WIRRAWAY NR VALE  (Moe and Newborough),FLASH PX,VicRoads,338H09,,,,
817,WRAY nr STATION,FLASH PX,Melway,118A12,,,,
819,WRAY nr YORK,FLASH PX,Melway,120B01,,,,
1296,YOUNG NR PLAYNE,FLASH PX,Melway,100AC08,,,,
757,YOUNG NR WELLS,FLASH PX,Melway,102D02,,,,
