Site Number,Location Description,Site Type,Directory,Map reference,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1655,WGF nr Haig (EB),O/H LANE,Unknown,Unknown,,,,
1626,WGF nr Hyde I/B,O/H LANE,Melway,042B12,,,,
1670,WGF nr Lorimer (EB),O/H LANE,Unknown,Unknown,,,,
1669,WGF nr Montague (EB),O/H LANE,Unknown,Unknown,,,,
1668,WGF nr Montague (EB),O/H LANE,Melway,043D11,,,,
1667,WGF nr Montague (WB),O/H LANE,Unknown,Unknown,,,,
1688,WGF nr service centre (WB),O/H LANE,Unknown,Unknown,,,,
1624,WGF nr Westgate park I/B,O/H LANE,Melway,056D01,,,,
1657,WGF nr Whiteman (WB),O/H LANE,Unknown,Unknown,,,,
1672,WGF On Wstrn Lk nr Lorimer (EB),O/H LANE,Unknown,Unknown,,,,
1650,WGF W of Kingsway (WB),O/H LANE,Unknown,Unknown,,,,
1691,WGF WEST OF MONTAGUE O/B,O/H LANE,Unknown,Unknown,,,,
1680,WGF West of Wstrn Lk Offramp (WB),O/H LANE,Unknown,Unknown,,,,
1678,WGF/box 762,O/H LANE,Melway,43A012,,,,
1692,WGF/COOK SERVICE CENTRE ON RAMP I/B,O/H LANE,Unknown,Unknown,,,,
1676,WGF/Ingles (EB),O/H LANE,Unknown,Unknown,,,,
1690,WGF/KINGSWAY ON RAMP O/B,O/H LANE,Unknown,Unknown,,,,
1671,WGF/K'way Offramp nr Lorimer (EB),O/H LANE,Unknown,Unknown,,,,
1666,WGF/K'way Onramp nr Governor (WB),O/H LANE,Unknown,Unknown,,,,
1664,WGF/Montague (WB) ramp B,O/H LANE,Unknown,Unknown,,,,
1665,WGF/MONTAGUE RAMP B I/B,O/H LANE,Unknown,Unknown,,,,
1686,WGF/PROHASKY,O/H LANE,Unknown,Unknown,,,,
1684,WGF/Salmon (EB),O/H LANE,Unknown,Unknown,,,,
1683,WGF/Salmon (WB),O/H LANE,Unknown,Unknown,,,,
1638,WGF/WILLIAMSTOWN I/B,O/H LANE,Unknown,Unknown,,,,
1631,WGF/Williamstown I/B,O/H LANE,Melway,041J11,,,,
1630,WGF/Williamstown I/B,O/H LANE,Melway,041J11,,,,
1658,WGFK'way Onramp nr Whiteman (WB),O/H LANE,Unknown,Unknown,,,,
