x,y,fid,objectid,tfm_id,tfm_desc,tfm_typ_de,movement_t,site_desc,road_nbr,declared_r,local_road,data_src_c,data_sourc,time_categ,year_since,last_year,aadt_allve,aadt_truck,per_trucks,road_name,road_avg_aadt,efficiency_index,vs_average_pct
145.2368102561503,-37.81107055665488,49914,49283,44068,RINGWOOD_BYPASS W OF MAROONDAH_HWY,INTERSECTION,All Moves,WHITEHORSE RD/MT DANDENONG RD/RINGWOOD BYPASS,2270,RINGWOOD BYPASS,RINGWOOD BYPASS,SCATS,Scats,Greater than 10 Years,12,2004,7900,0,0.0,RINGWOOD BYPASS,4500.0,1.76,76.0
145.2304203348191,-37.80442081701668,3448,3617,6079,WARRANDYTE RD NE OF LOUGHNAN RD,INTERSECTION,All Moves,LOUGHNAN RD & WARRANDYTE RD,5806,RINGWOOD-WARRANDYTE ROAD,WARRANDYTE ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,15000,280,0.02,RINGWOOD-WARRANDYTE ROAD,3097.5,4.84,384.0
145.23322713950088,-37.80169866522053,6979,6784,9894,WARRANDYTE RD NE OF ACCESS RD TO NORWO,INTERSECTION,All Moves,ACCESS RD TO NORWO & WARRANDYTE RD,5806,RINGWOOD-WARRANDYTE ROAD,WARRANDYTE ROAD,TMVMT,Manual,Greater than 10 Years,17,1999,15000,0,0.0,RINGWOOD-WARRANDYTE ROAD,3097.5,4.84,384.0
145.2304203348191,-37.80442081701668,5247,5622,4286,WARRANDYTE RD NEBD NE of LOUGHNAN RD,INTERSECTION,All Moves,WARRANDYTE RD NNE OF LOUGHNAN RD,5806,RINGWOOD-WARRANDYTE ROAD,WARRANDYTE ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,15000,300,0.02,RINGWOOD-WARRANDYTE ROAD,3097.5,4.84,384.0
145.02532794830068,-37.827291066189616,29161,29451,791,SWAN ST W BD BTW MADDEN GV & YARRA BVD,MIDBLOCK,All Moves,SWAN ST BTW MADDEN GV & YARRA BVD,5292,RIVERSDALE ROAD,RIVERSDALE ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,21000,680,0.03,RIVERSDALE ROAD,3265.4676258992804,6.43,543.0
145.0431951104223,-37.82980144668167,17239,17880,37238,RIVERSDALE RD W BD W of AUBURN RD,INTERSECTION,All Moves,AUBURN RD N OF RIVERSDALE RD,5292,RIVERSDALE ROAD,RIVERSDALE ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,14000,340,0.02,RIVERSDALE ROAD,3265.4676258992804,4.29,329.0
145.09756351110485,-37.83590705490814,26637,26477,53334,RIVERSDALE RD W of WARRIGAL RD,INTERSECTION,All Moves,RIVERSDALE RD & WARRIGAL RD,5292,RIVERSDALE ROAD,RIVERSDALE ROAD,TMVMT,Manual,Greater than 10 Years,31,1985,14000,390,0.03,RIVERSDALE ROAD,3265.4676258992804,4.29,329.0
142.770176073966,-34.606359688386625,45112,45935,31386,SEA LAKE-ROBINVALE RD N BD 30M N OF TOBRUK RD @108.9KM FROM SEA LAKE,MIDBLOCK,All Moves,SEA LAKE-ROBINVALE RD 30M N OF TOBRUK RD @108.9KM FROM SEA LAKE,5321,ROBINVALE-SEA LAKE ROAD,ROBINVALE-SEA LAKE ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,1100,130,0.12,ROBINVALE-SEA LAKE ROAD,244.66666666666666,4.5,350.0
142.770176073966,-34.606359688386625,12217,12185,21767,SEA LAKE-ROBINVALE RD S BD 30M N OF TOBRUK RD @108.9KM FROM SEA LAKE,MIDBLOCK,All Moves,SEA LAKE-ROBINVALE RD 30M N OF TOBRUK RD @108.9KM FROM SEA LAKE,5321,ROBINVALE-SEA LAKE ROAD,ROBINVALE-SEA LAKE ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,1000,180,0.17,ROBINVALE-SEA LAKE ROAD,244.66666666666666,4.09,309.0
142.88281966793042,-35.053430597227674,44164,44380,54379,ROBINVALE-SEA LAKE RD N BD 160M N OF MALLEE HWY (MANANGATANG) @ 59.2KM FROM SEA,MIDBLOCK,All Moves,ROBINVALE-SEA LAKE RD 160M N OF MALLEE HWY (MANANGATANG) @ 59.2KM FROM SEA,5321,ROBINVALE-SEA LAKE ROAD,WATTLE STREET,APARX,Classification,Greater than 10 Years,21,1995,340,50,0.16,ROBINVALE-SEA LAKE ROAD,244.66666666666666,1.39,39.0
143.71844320994296,-37.9002332813156,496,765,2836,COLAC-BALLARAT RD N BD BTW 50M SOUTH OF RUSSELL ST &,MIDBLOCK,All Moves,COLAC-BALLARAT RD BTW 50M SOUTH OF RUSSELL ST &,5075,ROKEWOOD-SHELFORD ROAD,FERRARS STREET,APARX,Classification,Between 2 and 5 Years,3,2013,500,80,0.16,ROKEWOOD-SHELFORD ROAD,142.5,3.51,251.0
143.72236942461822,-37.90181796221538,13450,13712,35134,FERRARS ST W Bd btwn ROKEWOOD-SHELFORD RD & COLAC-BALLARAT RD,MIDBLOCK,All Moves,FERRARS ST BTWN COLAC-BALLARAT RD & ROKEWOOD-SHELFORD RD,5075,ROKEWOOD-SHELFORD ROAD,FERRARS STREET,APARX,Classification,Between 2 and 5 Years,2,2014,470,110,0.24,ROKEWOOD-SHELFORD ROAD,142.5,3.3,230.0
143.94480285911598,-37.991288047494685,17178,17230,41353,ROKEWOOD-SHELFORD RD SE BD NW OF MT MERCER RD @ 6.0KM FROM SHELFORD,MIDBLOCK,All Moves,ROKEWOOD-SHELFORD RD NNW OF MT MERCER RD @ 6.0KM FROM SHELFORD,5075,ROKEWOOD-SHELFORD ROAD,ROKEWOOD-SHELFORD ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,380,80,0.23,ROKEWOOD-SHELFORD ROAD,142.5,2.67,167.0
143.5897709013827,-37.80998389294619,44877,44182,44557,ROKEWOOD SKIPTON RD W BD 500M E OF WOADY YALOAK RIVER,MIDBLOCK,All Moves,ROKEWOOD SKIPTON RD 500M E OF WOADY YALOAK RIVER,5181,ROKEWOOD-SKIPTON ROAD,ROKEWOOD-SKIPTON ROAD,APARX,Classification,Greater than 10 Years,23,1993,370,190,0.52,ROKEWOOD-SKIPTON ROAD,136.47058823529412,2.71,171.0
143.5897709013827,-37.80998389294619,53874,53587,55340,ROKEWOOD SKIPTON RD E BD 500M E OF WOADY YALOAK RIVER,MIDBLOCK,All Moves,ROKEWOOD SKIPTON RD 500M E OF WOADY YALOAK RIVER,5181,ROKEWOOD-SKIPTON ROAD,ROKEWOOD-SKIPTON ROAD,APARX,Classification,Greater than 10 Years,23,1993,330,60,0.18,ROKEWOOD-SKIPTON ROAD,136.47058823529412,2.42,142.0
143.4741787272638,-37.75420666475173,368,612,58709,PORTLAND-GEELONG ROAD SEBd 200M E OF PITTONG-LISMORE RD,MIDBLOCK,All Moves,PORTLAND-GEELONG ROAD S200M E OF PITTONG-LISMORE RD,5181,ROKEWOOD-SKIPTON ROAD,ROKEWOOD-SKIPTON ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,320,100,0.31,ROKEWOOD-SKIPTON ROAD,136.47058823529412,2.34,134.0
144.88952192531448,-38.36508639564687,26593,26567,53168,BONEO RD S OF MCCOMBE ST,INTERSECTION,All Moves,BONEO RD/MCCOMBE ST,5750,ROSEBUD-FLINDERS ROAD,BONEO ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,8200,0,0.0,ROSEBUD-FLINDERS ROAD,1877.037037037037,4.37,337.0
144.88952192531448,-38.36508639564687,40066,40818,37287,BONEO RD S OF MCCOMBE ST,INTERSECTION,All Moves,BONEO RD/MCCOMBE ST,5750,ROSEBUD-FLINDERS ROAD,BONEO ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,7200,0,0.0,ROSEBUD-FLINDERS ROAD,1877.037037037037,3.84,284.0
144.88957736403427,-38.36368299699383,12549,12920,30177,BONEO RD N OF MCCOMBE ST,INTERSECTION,All Moves,BONEO RD/MCCOMBE ST,5750,ROSEBUD-FLINDERS ROAD,BONEO ROAD,SCATS,Scats,Between 2 and 5 Years,5,2011,6000,0,0.0,ROSEBUD-FLINDERS ROAD,1877.037037037037,3.2,220.0
146.7813893759711,-38.12279870833471,47820,47895,54185,ROSEDALE-HEYFIELD RD N BD 2.1 KLMS N OF PRINCES HWY EAST @ 16.9KM FROM HEYFIELD,MIDBLOCK,All Moves,ROSEDALE-HEYFIELD RD 2.1 KLMS N OF PRINCES HWY EAST @ 16.9KM FROM HEYFIELD,5544,ROSEDALE-HEYFIELD ROAD,ROSEDALE-HEYFIELD ROAD,APARX,Classification,Less than 2 Years,1,2015,360,40,0.13,ROSEDALE-HEYFIELD ROAD,210.0,1.71,71.0
146.7813893759711,-38.12279870833471,47273,47297,44630,ROSEDALE-HEYFIELD RD S BD 2.1 KLMS N OF PRINCES HWY EAST @ 16.9KM FROM HEYFIELD,MIDBLOCK,All Moves,ROSEDALE-HEYFIELD RD 2.1 KLMS N OF PRINCES HWY EAST @ 16.9KM FROM HEYFIELD,5544,ROSEDALE-HEYFIELD ROAD,ROSEDALE-HEYFIELD ROAD,APARX,Classification,Less than 2 Years,1,2015,350,70,0.21,ROSEDALE-HEYFIELD ROAD,210.0,1.67,67.0
146.76532332759868,-38.02383109961216,15024,15910,41384,ROSEDALE-HEYFIELD RD N BD 200M S OF TRARALGON-MAFFRA RD @ 15.7KM FROM ROSEDALE,MIDBLOCK,All Moves,ROSEDALE-HEYFIELD RD 200M S OF TRARALGON-MAFFRA RD @ 15.7KM FROM ROSEDALE,5544,ROSEDALE-HEYFIELD ROAD,ROSEDALE-HEYFIELD ROAD,APARX,Classification,Greater than 10 Years,11,2005,260,50,0.19,ROSEDALE-HEYFIELD ROAD,210.0,1.24,24.0
146.78892496934466,-38.15389720064713,27641,27676,51087,LYONS ST S BD 30M NORTH ROSEDALE-LONGFORD RD,MIDBLOCK,All Moves,LYONS ST 30M NORTH ROSEDALE-LONGFORD RD,5590,ROSEDALE-LONGFORD ROAD,LYONS STREET,APARX,Classification,Between 2 and 5 Years,3,2013,880,190,0.22,ROSEDALE-LONGFORD ROAD,308.75,2.85,185.0
146.78892496934466,-38.15389720064713,27579,27663,52968,LYONS ST N BD 30M NORTH ROSEDALE-LONGFORD RD,MIDBLOCK,All Moves,LYONS ST 30M NORTH ROSEDALE-LONGFORD RD,5590,ROSEDALE-LONGFORD ROAD,LYONS STREET,APARX,Classification,Between 2 and 5 Years,3,2013,840,150,0.19,ROSEDALE-LONGFORD ROAD,308.75,2.72,172.0
146.83144100075432,-38.154963481669526,52281,52695,45151,ROSEDALE-LONGFORD RD W BD 2.1KM E OF RAIL CROSSING,MIDBLOCK,All Moves,ROSEDALE-LONGFORD RD 2.1KM E OF RAIL CROSSING,5590,ROSEDALE-LONGFORD ROAD,ROSEDALE-LONGFORD ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,380,80,0.21,ROSEDALE-LONGFORD ROAD,308.75,1.23,23.0
143.05108479605428,-37.67613259099453,24790,24896,56953,ROSSBRIDGE-STREATHAM RD NWBD 500M NW OF GLENELG HWY @ 29.5KM FROM ROSSBRIDGE,MIDBLOCK,All Moves,ROSSBRIDGE-STREATHAM RD 500M NW OF GLENELG HWY @ 29.5KM FROM ROSSBRIDGE,5098,ROSSBRIDGE-STREATHAM ROAD,ROSSBRIDGE-STREATHAM ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,80,20,0.27,ROSSBRIDGE-STREATHAM ROAD,56.666666666666664,1.41,41.0
143.05108479605428,-37.67613259099453,51407,51707,44020,ROSSBRIDGE-STREATHAM RD SEBD 500M NW OF GLENELG HWY @ 29.5KM FROM ROSSBRIDGE,MIDBLOCK,All Moves,ROSSBRIDGE-STREATHAM RD 500M NW OF GLENELG HWY @ 29.5KM FROM ROSSBRIDGE,5098,ROSSBRIDGE-STREATHAM ROAD,ROSSBRIDGE-STREATHAM ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,70,20,0.28,ROSSBRIDGE-STREATHAM ROAD,56.666666666666664,1.24,24.0
142.96538323548114,-37.63953107523098,21737,21542,44544,ROSSBRIDGE STREATHAM RD N BD 500M S OF RAIL CROSSING,MIDBLOCK,All Moves,ROSSBRIDGE STREATHAM RD 500M S OF RAIL CROSSING,5098,ROSSBRIDGE-STREATHAM ROAD,ROSSBRIDGE-STREATHAM ROAD,APARX,Classification,Greater than 10 Years,25,1991,50,0,0.13,ROSSBRIDGE-STREATHAM ROAD,56.666666666666664,0.88,-12.0
144.95945745925604,-37.78422809541238,6548,6642,21152,ROYAL PDE S OF WALKER ST (HISTORIC),INTERSECTION,All Moves,ROYAL PDE/WALKER ST,5979,ROYAL PARADE,ROYAL PARADE,SCATS,Scats,Greater than 10 Years,20,1996,23000,0,0.0,ROYAL PARADE,5488.888888888889,4.19,319.0
144.96034476543716,-37.7775335945836,7543,7671,6544,ROYAL PDE N of PARK ST,INTERSECTION,All Moves,PARK ST & ROYAL PDE,5979,ROYAL PARADE,SYDNEY ROAD,TMVMT,Manual,Greater than 10 Years,21,1995,18000,0,0.0,ROYAL PARADE,5488.888888888889,3.28,228.0
144.95817572584488,-37.79469219802634,32037,32420,7596,ROYAL_PDE S OF BAYLES_ST,INTERSECTION,All Moves,ROYAL PDE NR MORRAH ST,5979,ROYAL PARADE,ROYAL PARADE,SCATS,Scats,Between 5 and 10 Years,8,2008,18000,0,0.0,ROYAL PARADE,5488.888888888889,3.28,228.0
147.0335178820902,-36.551641265630494,43974,43191,30394,RUNNING CREEK RD E BD 2.2KM W OF KIEWA VALLEY HWY @ 2.2KM FROM RUNNING CREEK,MIDBLOCK,All Moves,RUNNING CREEK RD 2.2KM W OF KIEWA VALLEY HWY @ 2.2KM FROM RUNNING CREEK,5471,RUNNING CREEK ROAD,RUNNING CREEK ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,200,20,0.11,RUNNING CREEK ROAD,190.0,1.05,5.0
147.0335178820902,-36.551641265630494,7732,7477,23074,RUNNING CREEK RD W BD 2.2KM W OF KIEWA VALLEY HWY @ 2.2KM FROM RUNNING CREEK,MIDBLOCK,All Moves,RUNNING CREEK RD 2.2KM W OF KIEWA VALLEY HWY @ 2.2KM FROM RUNNING CREEK,5471,RUNNING CREEK ROAD,RUNNING CREEK ROAD,APARX,Classification,Between 2 and 5 Years,2,2014,180,20,0.16,RUNNING CREEK ROAD,190.0,0.95,-5.0
